naslov,leto_izdaje,avtor,ocena,stevilo_ocen
I Don&#39;t Love You Anymore,2020,Rithvik Singh,3.16,75
Verity,2018,Colleen Hoover,3.94,93
"Thinking, fast and slow",2011,Daniel Kahneman,4.10,172
A Gentle Reminder,2020,Bianca Sparacino,3.94,118
A Good Girl&#39;s Guide to Murder,2019,Holly Jackson,4.14,80
The Silent Patient,2018,Alex Michaelides,4.11,128
The Power of Positive Thinking,1952,Norman Vincent Peale,4.10,96
Twisted Games,2021,Ana Huang,3.77,61
The Art of Seduction,1901,Robert Greene,3.79,61
Harry Potter and the Goblet of Fire,1993,J. K. Rowling,4.31,245
Can&#39;t Hurt Me: Master Your Mind and Defy the Odds,2018,David Goggins,4.48,79
The Fault in Our Stars,2010,John Green,4.30,160
I&#39;m Glad My Mom Died,2022,Jennette McCurdy,4.32,63
101 Essays That Will Change The Way You Think,2018,Brianna Wiest,4.11,73
The Hobbit,1937,J.R.R. Tolkien,4.28,420
Sapiens: A Brief History of Humankind,2011,Yuval Noah Harari,4.22,131
November 9,2015,Colleen Hoover,4.16,70
Animal Farm,1945,George Orwell,4.09,452
Harry Potter and the Order of the Phoenix,2003,J. K. Rowling,4.31,249
Fahrenheit 451,1953,Ray Bradbury,3.95,374
Read People Like a Book,2020,Patrick King,4.07,85
The Laws of Human Nature,2018,Robert Greene,4.18,65
The Summer I Turned Pretty,2000,Jenny Han,4.46,93
Twisted Hate,2022,Ana Huang,3.70,64
"Heartstopper, Volume 1",2018,Alice Oseman,4.35,144
Wonder,2001,R. J. Palacio,4.33,215
Charlotte&#39;s Web,1952,E. B. White,4.00,324
Where the Crawdads Sing,2018,Delia Owens,4.33,84
A Court of Thorns and Roses,2015,Sarah J. Maas,3.97,94
Dune,1965,Frank Herbert,4.28,344
The Art of War,1910,Sun Tzu,4.07,92
Harry Potter and the Half-Blood Prince,2005,J. K. Rowling,4.41,169
Tuesdays with Morrie,1994,Mitch Albom,3.86,74
The Song of Achilles,2011,Madeline Miller,4.30,106
Elon Musk,2013,Ashlee Vance,4.11,140
King of Wrath,2022,Ana Huang,4.41,46
The Da Vinci Code,2003,Dan Brown,3.91,141
No Longer Human,1948,Osamu Dazai,4.03,86
If he had been with me,2013,Laura Nowlin,4.09,65
The Sea of Monsters,2005,Rick Riordan,4.49,138
Catching Fire,2009,Suzanne Collins,4.12,227
Brave New World,1932,Aldous Huxley,3.92,383
"It Ends with Us, It Starts with Us: Ebook Collection",2022,Colleen Hoover,3.71,38
We Were Liars,2014,E. Lockhart,4.14,42
The Intelligent Investor,2003,"Graham, Benjamin;Zweig, Jason",4.57,35
The Power of Habit: Why We Do What We Do in Life and Business,2012,Charles Duhigg,3.92,100
"Good Girl, Bad Blood",2020,Holly Jackson,4.21,39
Why Men Love Bitches,2022,Sherry Argov,4.36,14
Normal People,2018,Sally Rooney,3.98,54
The Secret,2000,Rhonda Byrne,3.90,31
LՎtranger,1942,Albert Camus,3.92,80
The Richest Man in Babylon,1983,George S. Clason,4.33,54
The BFG,1980,Roald Dahl,4.17,124
Before the Coffee Gets Cold,2019,Toshikazu Kawaguchi,3.71,41
The Hate U Give,2017,Angie Thomas,4.41,106
Foundation,1951,Isaac Asimov,4.08,253
The Bell Jar,1963,Sylvia Plath,4.21,29
Steve Jobs,2011,Walter Isaacson,4.12,141
Die Verwandlung,1915,Franz Kafka,4.13,78
Wings of Fire,1999,A. P. J. Abdul Kalam,4.38,68
Hujan,2018,Tere Liye,4.18,112
The Invisible Man,1897,H. G. Wells,3.84,90
I Fell in Love with Hope,2022,Lancali,4.52,23
The Secret History,1992,Donna Tartt,4.03,63
